market	name	type	pStart	qStart	mStart	p	q	m	qprat	release.year	numPoints	TTP	peak	RMSEreal	rmsePeak	qualityFit	T1	T2	TTdif	lifeTime
DISTILLER	Acrobat Distiller 3	TOOL	0.2	0.05	1000	0.116401416639121	0.308114548971416	12.1054031714438	2.64699999250578	1996	14	2.29302782290831	1.77008905825188	0.525461952755497	0.296856223310277	EXCELLENT	-0.809229815460536	5.39528546127716	6.2045152767377	13.8960029154044
DISTILLER	Acrobat Distiller 4	TOOL	0.3	0.55	10000	0.0646699310955784	0.463330203731828	17.3666307492159	7.16453838565335	1999	11	3.72943774637729	2.61236005143625	0.861641181483844	0.329832475048806	EXCELLENT	1.23519994214775	6.22367555060684	4.9884756084591	12.6988042858368
DISTILLER	Acrobat Distiller 5	TOOL	0.85	0.95	1000	0.0405420951358598	0.708039275453431	16.3949483133136	17.4642990965498	2001	10	3.82077200680594	3.24392452719043	0.699218574016089	0.215547115278198	EXCELLENT	2.06150047178484	5.58004354182703	3.51854307004219	10.0470163573069
DISTILLER	Acrobat Distiller 6	TOOL	0.9	0.15	10000	0.0413549813473927	0.56460979962837	9.66544361024623	13.6527639774638	2003	8	4.31368632697622	1.57147745668601	0.286394939884008	0.182245655937036	EXCELLENT	2.14036216974687	6.48701048420557	4.3466483144587	12.0300707234518
DISTILLER	Acrobat Distiller 7	TOOL	0.6	0.05	1000	0.0237325396234652	0.727589659636405	6.53274422729782	30.6578929680586	2004	6	4.55582192560141	1.26707285624625	0.176562819334358	0.139347014233603	EXCELLENT	2.80296822552153	6.30867562568129	3.50570740015976	10.7279642399821
DISTILLER	Acrobat Distiller 8	TOOL	0.95	0.55	0.1	0.0337832810920422	0.733715286986357	5.03056418175254	21.718295655989	2006	4	4.01063291989796	1.00968123047112	0.241693939946184	0.23937648106364	GOOD	2.29472366390794	5.72654217588799	3.43181851198005	10.0695181506795
DOCUMENTS	Portable Document Format	FORMAT	0.9	0.35	1000	0.0135954350329351	0.141511573482469	21283.910461464	10.4087565524498	1993	15	15.1034273080488	904.611939943434	44.6224022506271	0.0493276733152752	EXCELLENT	6.61278649478064	23.5940681213169	16.9812816265363	45.3851275487222
DOCUMENTS	Microsoft Publisher Document File	FORMAT	0.35	1	1	1.74807021556246e-06	1.24266038411192	8.71918295006583	710875.554682499	1991	13	10.8430540497997	2.70875342934509	0.655457567484803	0.2419775681256	GOOD	9.78326646730351	11.9028416322958	2.11957516499231	14.5489460001855
DOCUMENTS	Rich Text Format	FORMAT	0.35	0.3	30000	2.29569818079482e-07	1.92732110803413	1089.13340319401	8395359.3035773	1987	16	8.27220107836816	524.7775743763	132.712267713565	0.252892414221958	GOOD	7.5888911023773	8.95551105435901	1.36661995198171	10.6616159700368
DOCUMENTS	StarOffice Writer Document	FORMAT	0.4	0.6	100	1.69692075485504e-09	1.03209454747216	0.015115765281266	608216114.110952	1985	4	19.5970813370701	0.00390022474474103	0.00113255357080778	0.290381617709309	BAD	18.3210762482097	20.8730864259305	2.55201017772078	24.0590467561684
DOCUMENTS	WordPerfect Document File 5.1	FORMAT	0.65	0.4	1	3.24612135399497e-08	1.35229660881421	2.14104111205562	41658843.3192726	1989	10	12.9742422580331	0.723830693541554	0.362278500057702	0.500501710262034	GOOD	12.0003746488651	13.9481098672011	1.947735218336	16.3796860559628
DOCUMENTS	WordPerfect Document File	FORMAT	0.35	0.4	0.01	1.64791085070243e-10	1.10298739894264	10.3521008193929	6693246776.50183	1979	11	20.51189789614	2.85455918994651	0.569430834567712	0.199481179641744	GOOD	19.3179061080284	21.7058896842515	2.38798357622314	24.6870772226346
DOCUMENTS	Microsoft Works file format	FORMAT	0.95	0.25	100	3.28920441836352e-05	0.781269359903388	1.00530751438515	23752.5328478092	1988	12	12.8957063990085	0.19637052322506	0.0638147514270597	0.324971133034674	GOOD	11.2101130276314	14.5812997703856	3.37118674275417	18.7899839009555
DOCUMENTS	Microsoft Word Binary File Format	FORMAT	0.55	0.55	1	0.00894964992338551	0.185052890633328	3845.82723204718	20.6771094084679	1983	16	15.6133381244645	195.545911502845	47.6733646413247	0.243796274107378	GOOD	8.82498425473859	22.4016919941903	13.5767077394517	39.5944661433805
DOCUMENTS	Microsoft Word Open XML Document	FORMAT	1	0.45	0.01	0.0135392409687786	1.73745838041147	0.40269418781531	128.327605987518	2007	4	2.77246888098476	0.177652806254974	0.0477560971908618	0.268817015602447	GOOD	2.02035027108814	3.52458749088139	1.50423721979325	5.40692850564703
DOCUMENTS	Adobe PostScript	FORMAT	0.9	0.6	10	0.000482337510584331	0.524358239984041	2771.80503028265	1087.1189332731	1982	15	13.3207808145173	364.023482035081	17.8613410168942	0.0490664528481516	EXCELLENT	10.8115276176486	15.830034011386	5.01850639373745	22.0969498518216
DOCUMENTS	OpenDocument Text Document	FORMAT	0.25	0.2	1000	2.22673713321168e-06	3.07200299416782	1.71750145669332	1379598.40357851	2005	5	4.60197883345947	1.31904431657519	0.444874337340793	0.337270197635117	GOOD	4.17328232996301	5.03067533695593	0.857393006992917	6.10105535829684
FLASH	Adobe Shockwave Flash version 1	VERSION	0.05	0.05	30000	0.0129061783755971	0	27724.6966388637	0	1996	13	-Inf	Inf	402.526019322848	0	BAD	-Inf	-Inf	NA	356.819040615113
FLASH	Adobe Shockwave Flash version 2	VERSION	0.35	0.9	1	0.505059788335923	0.749238341623972	40.9745447371267	1.48346464899249	1997	10	0.314423119657363	21.5097667613898	1.36596730399128	0.0635045149091625	BAD	-0.735532919874423	1.36437915918915	2.09991207906357	4.39674163213388
FLASH	Adobe Shockwave Flash version 3	VERSION	0.05	0.6	10000	0.152104085253058	0	524.742572054019	0	1998	11	-Inf	Inf	6.25949657383701	0	GOOD	-Inf	-Inf	NA	30.2764398360925
FLASH	Adobe Shockwave Flash version 4	VERSION	0.85	0.6	1000	0.0647526183737197	0.241992098982793	5507.08188897837	3.73717858922918	1999	10	4.29781138592138	535.321320920499	91.7776874489299	0.171444110036783	EXCELLENT	0.00447617130320499	8.59114660053956	8.58667042923636	20.0838402800359
FLASH	Adobe Shockwave Flash version 5	VERSION	0.4	0.55	0.01	0.00372979339391238	0	115710.913047679	0	2000	10	-Inf	Inf	61.7315727183731	0	BAD	-Inf	-Inf	NA	1234.69846707983
FLASH	Adobe Shockwave Flash version 6	VERSION	0.9	0.75	30000	0.00447260351766609	0.722585494103985	1397.4184492905	161.558137503109	2002	9	6.99375342776152	255.573296092343	37.434513732	0.14647271175966	EXCELLENT	5.18240176104762	8.80510509447543	3.6227033334278	13.3362188313999
FLASH	Adobe Shockwave Flash version 7	VERSION	0.4	0.05	10000	0.00634619401055604	0.575186281526101	358.244254377182	90.6348404365444	2003	8	7.74993466572669	52.6573099178853	3.97159432926024	0.0754234186184903	EXCELLENT	5.48530121475822	10.0145681166952	4.52926690193694	15.6878284932302
GIFS	Graphics Interchange Format version 87a	VERSION	0.9	0.55	0.01	0.0425650151812127	0.289375540203669	5921.20948216224	6.79843620333991	1987	14	5.77420440059042	563.649658362448	26.4449105460454	0.0469172830209371	EXCELLENT	1.8067533749156	9.74165542626524	7.93490205134964	20.0611022208812
GIFS	Graphics Interchange Format version 89a	VERSION	0.1	0.15	10000	0.0123869408822655	0.0887028968761821	34180.9949379312	7.16100106711407	1989	15	19.4742600116375	984.468680880429	120.536743800449	0.122438373247842	EXCELLENT	6.44666073828951	32.5018592849855	26.0551985466959	66.3225619498304
HTML	HyperText Markup Language version 2.0	VERSION	0.6	0.65	0.1	0.177591982682351	0.8115256695937	1714.82334465255	4.56960757651562	1995	15	1.53614418694415	516.8363363193	64.0734309696644	0.123972380552748	EXCELLENT	0.204697018961276	2.86759135492703	2.66289433596575	6.39205535342277
HTML	HyperText Markup Language version 3.2	VERSION	0.45	0.55	100	0.172809043261473	0.449218717799599	2733.26800381756	2.59950931572428	1997	14	1.53582004260652	588.550750083424	31.6738867018994	0.0538167468097012	EXCELLENT	-0.581381116837417	3.65302120205045	4.23440231888787	9.46254828069435
